hugoSymbol	geneType
A1CF	ONCOGENE
AAMP	ONCOGENE
ABCB1	ONCOGENE
ABCC3	ONCOGENE
ABL1	ONCOGENE
ABL2	ONCOGENE
ABRAXAS1	TSG
ACACA	ONCOGENE
ACKR3	ONCOGENE_AND_TSG
ACP3	TSG
ACSL4	ONCOGENE
ACTG1	TSG
ACVR1	ONCOGENE
ACVR1B	TSG
ACVR2A	ONCOGENE_AND_TSG
ADAR	INSUFFICIENT_EVIDENCE
ADARB2	ONCOGENE
ADGRA2	ONCOGENE
ADGRG4	INSUFFICIENT_EVIDENCE
ADHFE1	ONCOGENE
AFDN	TSG
AFF4	ONCOGENE
AGGF1	ONCOGENE
AGK	ONCOGENE
AGO1	ONCOGENE
AGO2	INSUFFICIENT_EVIDENCE
AIM2	TSG
AIP	ONCOGENE_AND_TSG
AJUBA	TSG
AKT1	ONCOGENE
AKT1S1	ONCOGENE
AKT2	ONCOGENE
AKT3	ONCOGENE
ALB	NEITHER
ALDH1A3	ONCOGENE
ALDH1L2	ONCOGENE
ALDH2	TSG
ALK	ONCOGENE
ALK	ONCOGENE
ALOX12B	ONCOGENE_AND_TSG
ALOX15B	TSG
ALOX5	ONCOGENE_AND_TSG
AMER1	TSG
ANK1	ONCOGENE_AND_TSG
ANKRD11	TSG
ANKRD26	ONCOGENE
ANKRD26	ONCOGENE
APC	TSG
APC	TSG
APCDD1	TSG
APEX1	ONCOGENE
APLNR	ONCOGENE_AND_TSG
APOBEC3B	ONCOGENE
AR	ONCOGENE
ARAF	ONCOGENE
ARHGAP26	ONCOGENE_AND_TSG
ARHGAP35	ONCOGENE_AND_TSG
ARHGEF12	ONCOGENE_AND_TSG
ARHGEF28	ONCOGENE
ARID1A	TSG
ARID1B	TSG
ARID2	TSG
ARID3A	TSG
ARID3B	ONCOGENE
ARID3C	INSUFFICIENT_EVIDENCE
ARID4A	TSG
ARID4B	TSG
ARID5A	INSUFFICIENT_EVIDENCE
ARID5B	TSG
ASCL1	ONCOGENE
ASXL1	TSG
ASXL2	TSG
ASXL3	ONCOGENE
ATF1	ONCOGENE
ATG5	TSG
ATIC	ONCOGENE
ATM	TSG
ATM	TSG
ATMIN	TSG
ATP1A1	ONCOGENE_AND_TSG
ATP6AP1	INSUFFICIENT_EVIDENCE
ATP6V1B2	TSG
ATR	TSG
ATRIP	TSG
ATRX	TSG
ATXN2	TSG
ATXN7	ONCOGENE
AURKA	ONCOGENE
AURKB	ONCOGENE
AURKC	ONCOGENE
AVIL	ONCOGENE
AXIN1	TSG
AXIN2	TSG
AXIN2	TSG
AXL	ONCOGENE
B2M	TSG
BAALC	ONCOGENE
BABAM1	INSUFFICIENT_EVIDENCE
BABAM2	INSUFFICIENT_EVIDENCE
BACH1	ONCOGENE
BACH2	TSG
BAP1	TSG
BAP1	TSG
BARD1	TSG
BARD1	TSG
BBC3	TSG
BCL10	TSG
BCL11B	TSG
BCL2	ONCOGENE
BCL2L1	INSUFFICIENT_EVIDENCE
BCL2L11	TSG
BCL2L2	ONCOGENE
BCL3	ONCOGENE
BCL6	ONCOGENE
BCL7A	TSG
BCL9	ONCOGENE
BCL9L	ONCOGENE
BCOR	TSG
BCORL1	TSG
BCR	ONCOGENE
BIRC3	ONCOGENE_AND_TSG
BIRC5	ONCOGENE
BLM	TSG
BLM	TSG
BMPR1A	TSG
BMPR1A	TSG
BRAF	ONCOGENE
BRCA1	TSG
BRCA1	TSG
BRCA2	TSG
BRCA2	TSG
BRD2	ONCOGENE
BRD3	ONCOGENE
BRD4	ONCOGENE
BRD9	ONCOGENE
BRIP1	TSG
BRIP1	TSG
BRSK1	TSG
BTG1	TSG
BTG2	TSG
BTK	ONCOGENE
BTK	ONCOGENE
BUB1B	ONCOGENE
CACNA1D	ONCOGENE
CAD	ONCOGENE
CALR	ONCOGENE
CALR	ONCOGENE
CAMTA1	TSG
CANT1	ONCOGENE
CARD11	ONCOGENE
CARM1	INSUFFICIENT_EVIDENCE
CARS1	INSUFFICIENT_EVIDENCE
CASP8	TSG
CASR	ONCOGENE_AND_TSG
CAV1	ONCOGENE_AND_TSG
CBFA2T3	TSG
CBFB	TSG
CBL	TSG
CBL	TSG
CBLB	TSG
CCAR1	TSG
CCN6	ONCOGENE_AND_TSG
CCNB1IP1	INSUFFICIENT_EVIDENCE
CCNB3	ONCOGENE
CCND1	ONCOGENE
CCND2	ONCOGENE
CCND3	ONCOGENE
CCNE1	ONCOGENE
CCNQ	TSG
CD19	ONCOGENE
CD22	NEITHER
CD274	ONCOGENE
CD276	ONCOGENE
CD28	ONCOGENE
CD58	TSG
CD70	ONCOGENE
CD74	ONCOGENE
CD79A	ONCOGENE
CD79B	ONCOGENE
CDC42	ONCOGENE
CDC73	TSG
CDC73	TSG
CDH1	TSG
CDH1	TSG
CDH11	ONCOGENE
CDH2	ONCOGENE
CDH4	ONCOGENE
CDK12	TSG
CDK4	ONCOGENE
CDK4	ONCOGENE
CDK6	ONCOGENE
CDK8	ONCOGENE
CDKN1A	TSG
CDKN1B	TSG
CDKN1B	TSG
CDKN1C	TSG
CDKN2A	TSG
CDKN2A	TSG
CDKN2A (p14)	TSG
CDKN2A (p14)	TSG
CDKN2B	TSG
CDKN2C	TSG
CEBPA	TSG
CEBPA	TSG
CENPA	INSUFFICIENT_EVIDENCE
CEP43	ONCOGENE
CHCHD7	INSUFFICIENT_EVIDENCE
CHD2	TSG
CHD4	ONCOGENE
CHEK1	TSG
CHEK2	TSG
CHEK2	TSG
CHTF8	TSG
CHUK	ONCOGENE_AND_TSG
CIC	TSG
CIITA	TSG
CILK1	ONCOGENE
CLIP1	ONCOGENE
CLTCL1	INSUFFICIENT_EVIDENCE
CMTR2	TSG
CNTRL	INSUFFICIENT_EVIDENCE
COL1A1	ONCOGENE
COL2A1	TSG
COL5A1	ONCOGENE
COP1	ONCOGENE_AND_TSG
CRBN	TSG
CREB1	ONCOGENE
CREB3L2	INSUFFICIENT_EVIDENCE
CREBBP	TSG
CREM	INSUFFICIENT_EVIDENCE
CRKL	ONCOGENE
CRLF2	ONCOGENE
CRTC1	ONCOGENE
CSDE1	INSUFFICIENT_EVIDENCE
CSF1R	INSUFFICIENT_EVIDENCE
CSF3R	ONCOGENE
CTC1	INSUFFICIENT_EVIDENCE
CTCF	TSG
CTDNEP1	TSG
CTLA4	ONCOGENE
CTNNA1	TSG
CTNNB1	ONCOGENE
CTR9	TSG
CTR9	TSG
CUL3	TSG
CUL4A	ONCOGENE
CUX1	TSG
CXCR4	ONCOGENE
CYLD	TSG
CYP19A1	ONCOGENE
CYSLTR2	ONCOGENE
D2HGDH	ONCOGENE_AND_TSG
DAXX	TSG
DAZAP1	INSUFFICIENT_EVIDENCE
DCUN1D1	ONCOGENE
DDB2	TSG
DDIT3	INSUFFICIENT_EVIDENCE
DDR2	ONCOGENE
DDX3X	TSG
DDX4	ONCOGENE
DDX41	TSG
DDX41	TSG
DDX5	ONCOGENE
DEK	ONCOGENE
DHX15	ONCOGENE_AND_TSG
DICER1	TSG
DICER1	TSG
DIS3	TSG
DIS3L2	ONCOGENE_AND_TSG
DKK1	INSUFFICIENT_EVIDENCE
DKK2	INSUFFICIENT_EVIDENCE
DKK3	INSUFFICIENT_EVIDENCE
DKK4	INSUFFICIENT_EVIDENCE
DLL3	ONCOGENE
DNAJB1	INSUFFICIENT_EVIDENCE
DNM2	ONCOGENE
DNMT1	ONCOGENE
DNMT3A	TSG
DNMT3B	TSG
DOT1L	ONCOGENE
DPYD	INSUFFICIENT_EVIDENCE
DPYD	INSUFFICIENT_EVIDENCE
DROSHA	INSUFFICIENT_EVIDENCE
DTX1	TSG
DUSP22	TSG
DUSP4	TSG
E2F3	ONCOGENE
EBF1	INSUFFICIENT_EVIDENCE
ECSIT	ONCOGENE
ECT2L	TSG
EED	TSG
EGFL7	ONCOGENE
EGFR	ONCOGENE
EGFR	ONCOGENE
EGR1	TSG
EGR2	TSG
EIF1AX	INSUFFICIENT_EVIDENCE
EIF2B1	TSG
EIF3E	INSUFFICIENT_EVIDENCE
EIF4A2	ONCOGENE
EIF4E	ONCOGENE
ELF3	ONCOGENE_AND_TSG
ELF4	ONCOGENE
ELK4	ONCOGENE
ELL	ONCOGENE
ELL2	ONCOGENE_AND_TSG
ELN	ONCOGENE
ELOC	INSUFFICIENT_EVIDENCE
ELOC	INSUFFICIENT_EVIDENCE
EML4	ONCOGENE
EMSY	ONCOGENE
EP300	TSG
EP400	TSG
EPAS1	INSUFFICIENT_EVIDENCE
EPCAM	ONCOGENE
EPCAM	ONCOGENE
EPHA3	TSG
EPHA5	INSUFFICIENT_EVIDENCE
EPHA7	ONCOGENE_AND_TSG
EPHB1	ONCOGENE_AND_TSG
EPHB4	ONCOGENE
EPOR	ONCOGENE
ERBB2	ONCOGENE
ERBB3	ONCOGENE
ERBB4	ONCOGENE
ERC1	ONCOGENE
ERCC1	TSG
ERCC2	TSG
ERCC3	TSG
ERCC3	TSG
ERCC4	TSG
ERCC5	TSG
ERCC6	ONCOGENE
ERF	TSG
ERG	ONCOGENE
ERRFI1	TSG
ESCO1	ONCOGENE
ESCO2	TSG
ESR1	ONCOGENE
ETAA1	TSG
ETNK1	INSUFFICIENT_EVIDENCE
ETS1	ONCOGENE_AND_TSG
ETV1	ONCOGENE
ETV4	ONCOGENE
ETV5	ONCOGENE
ETV6	TSG
ETV6	TSG
EWSR1	ONCOGENE
EXT1	TSG
EZH1	ONCOGENE
EZH2	ONCOGENE_AND_TSG
EZHIP	ONCOGENE
FANCA	TSG
FANCA	TSG
FANCB	INSUFFICIENT_EVIDENCE
FANCC	TSG
FANCC	TSG
FANCD2	TSG
FANCE	TSG
FANCF	TSG
FANCG	TSG
FANCI	INSUFFICIENT_EVIDENCE
FANCL	TSG
FANCM	TSG
FAS	TSG
FAS	TSG
FAT1	TSG
FBXO11	TSG
FBXW2	INSUFFICIENT_EVIDENCE
FBXW7	TSG
FCGR2B	ONCOGENE
FES	ONCOGENE
FEV	INSUFFICIENT_EVIDENCE
FGF1	ONCOGENE
FGF10	ONCOGENE
FGF14	TSG
FGF19	ONCOGENE
FGF2	ONCOGENE
FGF23	ONCOGENE
FGF3	ONCOGENE
FGF4	ONCOGENE
FGF5	ONCOGENE
FGF6	ONCOGENE
FGF7	ONCOGENE
FGF8	ONCOGENE
FGF9	ONCOGENE
FGFR1	ONCOGENE
FGFR2	ONCOGENE
FGFR3	ONCOGENE
FGFR4	ONCOGENE
FH	TSG
FH	TSG
FHIT	TSG
FLCN	TSG
FLCN	TSG
FLI1	ONCOGENE
FLT1	ONCOGENE
FLT3	ONCOGENE
FLT4	ONCOGENE
FOLH1	ONCOGENE
FOLR1	ONCOGENE
FOXA1	ONCOGENE_AND_TSG
FOXF1	ONCOGENE_AND_TSG
FOXL2	ONCOGENE_AND_TSG
FOXN4	ONCOGENE
FOXO1	TSG
FOXO3	INSUFFICIENT_EVIDENCE
FOXP1	ONCOGENE_AND_TSG
FRS2	ONCOGENE
FSTL1	ONCOGENE
FUBP1	TSG
FURIN	ONCOGENE
FUS	ONCOGENE
FYN	ONCOGENE
FZR1	ONCOGENE_AND_TSG
GAB1	ONCOGENE
GAB2	ONCOGENE
GABRA6	ONCOGENE
GATA1	INSUFFICIENT_EVIDENCE
GATA2	ONCOGENE_AND_TSG
GATA2	ONCOGENE_AND_TSG
GATA3	ONCOGENE_AND_TSG
GATA4	TSG
GATA6	ONCOGENE
GEN1	INSUFFICIENT_EVIDENCE
GID4	INSUFFICIENT_EVIDENCE
GLI1	ONCOGENE
GNA11	ONCOGENE
GNA12	ONCOGENE
GNA13	ONCOGENE_AND_TSG
GNAQ	ONCOGENE
GNAS	ONCOGENE
GNB1	ONCOGENE
GPC3	ONCOGENE
GPS2	TSG
GRB7	ONCOGENE
GREM1	ONCOGENE
GREM1	ONCOGENE
GRIN2A	TSG
GRM3	INSUFFICIENT_EVIDENCE
GSK3B	ONCOGENE
GSTO1	ONCOGENE
GSTP1	TSG
GTF2I	ONCOGENE
H1-2	INSUFFICIENT_EVIDENCE
H1-3	TSG
H1-4	ONCOGENE
H1-5	TSG
H2AC11	INSUFFICIENT_EVIDENCE
H2AC16	INSUFFICIENT_EVIDENCE
H2AC17	ONCOGENE
H2AC6	INSUFFICIENT_EVIDENCE
H2BC11	INSUFFICIENT_EVIDENCE
H2BC12	INSUFFICIENT_EVIDENCE
H2BC17	INSUFFICIENT_EVIDENCE
H2BC4	INSUFFICIENT_EVIDENCE
H2BC5	NEITHER
H2BC8	INSUFFICIENT_EVIDENCE
H3-3A	ONCOGENE
H3-3B	INSUFFICIENT_EVIDENCE
H3-4	NEITHER
H3-5	NEITHER
H3C1	NEITHER
H3C10	NEITHER
H3C11	INSUFFICIENT_EVIDENCE
H3C12	NEITHER
H3C13	NEITHER
H3C14	NEITHER
H3C15	NEITHER
H3C2	ONCOGENE
H3C3	ONCOGENE
H3C4	NEITHER
H3C6	NEITHER
H3C7	NEITHER
H3C8	NEITHER
H3P6	NEITHER
H4C6	INSUFFICIENT_EVIDENCE
H4C9	INSUFFICIENT_EVIDENCE
HDAC1	ONCOGENE
HDAC2	ONCOGENE
HDAC4	ONCOGENE_AND_TSG
HDAC7	ONCOGENE
HERPUD1	INSUFFICIENT_EVIDENCE
HFE	ONCOGENE
HGF	ONCOGENE
HIF1A	ONCOGENE
HIP1	ONCOGENE
HIRA	TSG
HLA-A	TSG
HLA-B	TSG
HLA-C	TSG
HMGA1	ONCOGENE
HMGA2	ONCOGENE
HNF1A	TSG
HNF1B	INSUFFICIENT_EVIDENCE
HOXA11	TSG
HOXA13	ONCOGENE
HOXB13	ONCOGENE_AND_TSG
HOXB13	ONCOGENE_AND_TSG
HRAS	ONCOGENE
HRAS	ONCOGENE
HSD17B2	TSG
HSD3B1	ONCOGENE
HSP90AA1	ONCOGENE
HTATIP2	TSG
ICOSLG	ONCOGENE
ID1	ONCOGENE
ID3	TSG
IDH1	ONCOGENE
IDH2	ONCOGENE
IFNAR1	INSUFFICIENT_EVIDENCE
IFNGR1	TSG
IGF1	ONCOGENE
IGF1R	ONCOGENE
IGF2	ONCOGENE
IKBKE	ONCOGENE
IKZF1	INSUFFICIENT_EVIDENCE
IKZF1	INSUFFICIENT_EVIDENCE
IKZF3	ONCOGENE_AND_TSG
IL10	INSUFFICIENT_EVIDENCE
IL2RA	NEITHER
IL3	ONCOGENE
IL6ST	ONCOGENE
IL7R	ONCOGENE
ING1	TSG
INHA	TSG
INHBA	ONCOGENE_AND_TSG
INPP4A	INSUFFICIENT_EVIDENCE
INPP4B	TSG
INPPL1	TSG
INSR	ONCOGENE
INTS6	TSG
IQGAP1	ONCOGENE
IRF1	TSG
IRF2	TSG
IRF4	ONCOGENE
IRF8	TSG
IRS1	ONCOGENE
IRS2	ONCOGENE
ITPKB	ONCOGENE
JAK1	ONCOGENE_AND_TSG
JAK2	ONCOGENE
JAK3	ONCOGENE
JARID2	ONCOGENE_AND_TSG
JAZF1	ONCOGENE
JUN	ONCOGENE
KAT6A	INSUFFICIENT_EVIDENCE
KAT7	ONCOGENE
KBTBD4	INSUFFICIENT_EVIDENCE
KDM5A	ONCOGENE
KDM5C	TSG
